log_id,aircraft_id,date,task_type,component,scheduled_unscheduled,manhours,doc_ref,outcome
LOG0001,AC010,2025-04-01,Functional Check,Nose Gear Steering Control Valve,Unscheduled,5.2,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Returned to service
LOG0003,AC001,2025-04-01,Functional Check,IRS Cooling Fan,Unscheduled,5.3,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Repeat check scheduled
LOG0059,AC003,2025-04-01,Leak Rectification,Nose Gear Steering Control Valve,Unscheduled,4.6,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Repeat check scheduled
LOG0098,AC008,2025-04-01,Functional Check,Brake Temperature Monitoring Unit,Unscheduled,3.2,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Repeat check scheduled
LOG0029,AC009,2025-04-02,Troubleshooting,Brake Temperature Monitoring Unit,Unscheduled,4.5,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Further troubleshooting required
LOG0046,AC008,2025-04-02,Inspection,Brake Temperature Monitoring Unit,Unscheduled,5.5,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Component replaced and closed
LOG0006,AC012,2025-04-07,Troubleshooting,Satcom Transceiver,Scheduled,3.3,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Repeat check scheduled
LOG0040,AC006,2025-04-11,Component Replacement,Main Gear Hydraulic Line Kit,Scheduled,0.8,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Component replaced and closed
LOG0023,AC010,2025-04-17,MEL Review,Cabin Pressure Controller,Unscheduled,5.5,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Returned to service
LOG0020,AC003,2025-04-18,Functional Check,Brake Temperature Monitoring Unit,Scheduled,4.1,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Component replaced and closed
LOG0041,AC009,2025-04-18,Inspection,VHF Control Panel,Scheduled,6.6,MEL_IFE_Summary.txt - Dispatch Conditions,Component replaced and closed
LOG0034,AC004,2025-04-19,Leak Rectification,Spoiler Control Actuator,Unscheduled,8.5,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Component replaced and closed
LOG0063,AC006,2025-04-19,Component Replacement,Pack Flow Control Valve,Scheduled,6.0,MEL_IFE_Summary.txt - Dispatch Conditions,Component replaced and closed
LOG0017,AC010,2025-04-21,Inspection,IFE Seat Electronics Box,Scheduled,2.8,Vendor_Bulletin_Hydraulics.txt - Leak Rectification,Deferred under MEL
LOG0028,AC004,2025-04-24,Component Replacement,Brake Temperature Monitoring Unit,Unscheduled,5.7,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Component replaced and closed
LOG0084,AC005,2025-04-28,Inspection,Hydraulic Reservoir Sensor,Scheduled,2.0,AMM_A320_Autopilot_Excerpt.txt - Operational Test,Deferred under MEL
LOG0093,AC004,2025-05-08,Inspection,APU Starter Controller,Scheduled,2.8,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Fault isolated and monitored
LOG0057,AC004,2025-05-09,Component Replacement,Central Maintenance Display Module,Unscheduled,3.5,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Component replaced and closed
LOG0027,AC004,2025-05-14,Leak Rectification,APU Starter Controller,Unscheduled,5.7,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Repeat check scheduled
LOG0082,AC011,2025-05-20,BITE Test,APU Fuel Control Unit,Unscheduled,2.8,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Fault isolated and monitored
LOG0039,AC005,2025-05-24,BITE Test,Main Gear Hydraulic Line Kit,Scheduled,0.8,Vendor_Bulletin_Hydraulics.txt - Leak Rectification,Repeat check scheduled
LOG0002,AC004,2025-05-27,Inspection,IRS Cooling Fan,Scheduled,4.8,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Component replaced and closed
LOG0043,AC007,2025-05-27,Functional Check,Hydraulic Reservoir Sensor,Unscheduled,9.0,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Deferred under MEL
LOG0050,AC008,2025-05-27,BITE Test,Autothrust Servo Module,Scheduled,7.4,MEL_IFE_Summary.txt - Dispatch Conditions,Further troubleshooting required
LOG0036,AC003,2025-05-29,Functional Check,Autothrust Servo Module,Unscheduled,8.6,Vendor_Bulletin_Hydraulics.txt - Inspection Criteria,Component replaced and closed
LOG0009,AC004,2025-05-31,BITE Test,Cabin Pressure Controller,Unscheduled,5.9,MEL_IFE_Summary.txt - Dispatch Conditions,Repeat check scheduled
LOG0013,AC005,2025-06-02,Operational Check,APU Fuel Control Unit,Unscheduled,5.5,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Deferred under MEL
LOG0007,AC009,2025-06-07,Troubleshooting,Static Inverter,Scheduled,5.5,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Fault isolated and monitored
LOG0052,AC004,2025-06-09,Inspection,Main Gear Hydraulic Line Kit,Scheduled,3.3,AMM_A320_Autopilot_Excerpt.txt - Fault Isolation,Deferred under MEL
LOG0083,AC008,2025-06-09,Functional Check,Elevator Position Sensor,Scheduled,2.5,Reliability_Procedure_Note.txt - Repeat Defect Escalation,Further troubleshooting required
