defect_id,aircraft_id,report_date,ata_chapter,component,defect_description,severity,aog_flag,delay_minutes,repeat_defect,rectification_hours,vendor,maintenance_action,part_id,status
DEF0096,AC003,2025-04-02,24 Electrical Power,Transformer Rectifier Unit,DC bus fault associated with TRU 2,High,true,323,false,17.7,Safran,Replaced TRU and completed electrical load test,PN-2401,Closed
DEF0103,AC001,2025-04-03,34 Navigation,FMS CDU,FMS page switching delay observed in cruise,Medium,false,42,false,5.7,Honeywell,Performed software refresh and monitored key response,PN-3401,Closed
DEF0033,AC008,2025-04-04,34 Navigation,IRS Cooling Fan,IRS cooling fan current draw above normal limit,Medium,false,38,false,4.4,Collins,Replaced cooling fan and repeated avionics ventilation check,PN-3402,Closed
DEF0026,AC011,2025-04-05,29 Hydraulic Power,Hydraulic Reservoir Sensor,Hydraulic reservoir sensor disagree message recorded,High,false,28,false,11.7,Parker,Replaced reservoir sensor and serviced hydraulic system,PN-2901,Closed
DEF0073,AC005,2025-04-05,22 Auto Flight,Autothrust Servo Module,Autothrust transient disconnect observed in cruise,Low,false,4,false,4.5,Thales,Replaced servo module and repeated autothrust test profile,PN-2202,Closed
DEF0019,AC009,2025-04-07,21 Air Conditioning,Pack Flow Control Valve,Left pack flow below commanded value,Critical,true,403,false,20.4,Parker,Inspected pneumatic line contamination and verified valve travel,PN-2102,Closed
DEF0039,AC005,2025-04-07,24 Electrical Power,Transformer Rectifier Unit,DC bus fault associated with TRU 2,Medium,false,70,false,8.3,Safran,Replaced TRU and completed electrical load test,PN-2401,Closed
DEF0046,AC008,2025-04-10,31 Indicating/Recording Systems,Brake Temperature Monitoring Unit,Brake temperature indication discrepancy after landing,Low,false,19,false,1.2,Honeywell,Replaced monitoring unit and verified indication accuracy,PN-3101,Closed
DEF0068,AC006,2025-04-10,34 Navigation,FMS CDU,Pilot CDU keys unresponsive during route amendment,High,false,59,false,7.3,Honeywell,Performed software refresh and monitored key response,PN-3401,Closed
DEF0015,AC007,2025-04-13,27 Flight Controls,Spoiler Control Actuator,Spoiler actuation slow during flight control check,High,false,123,false,15.6,Parker,Replaced spoiler actuator and conducted hydraulic leak check,PN-2702,Closed
DEF0107,AC010,2025-04-13,49 APU,APU Starter Controller,APU starter cutout occurred before light-off,High,true,307,false,5.6,Honeywell,Inspected start relay circuit and carried out repeated start test,PN-4901,Deferred
DEF0056,AC003,2025-04-16,27 Flight Controls,Spoiler Control Actuator,Roll spoiler response asymmetry reported by crew,Medium,true,170,false,12.7,Parker,Replaced spoiler actuator and conducted hydraulic leak check,PN-2702,Closed
