chunk_id,source_doc,section_title,text
CHK001,AMM_A320_Autopilot_Excerpt.txt,Fault Isolation Overview,"When an autopilot disconnect warning occurs during climb or managed descent, maintenance personnel should interrogate the flight control computer fault history before resetting the channel. Confirm whether the disconnect was accompanied by servo clutch, mode reversion, or pitch trim messages."
CHK002,AMM_A320_Autopilot_Excerpt.txt,BITE Review,"Use the built-in test equipment page for the autopilot flight control computer to capture active and stored fault codes. If the warning is intermittent, preserve maintenance data printout before removing electrical power from the aircraft."
CHK003,AMM_A320_Autopilot_Excerpt.txt,Connector Inspection,"Inspect cannon plugs at the flight control computer, associated pitch trim actuator interface, and flight control data concentrator. Evidence of fretting, moisture ingress, or loose backshell bonding should be corrected before further troubleshooting."
CHK004,AMM_A320_Autopilot_Excerpt.txt,Operational Test,"After corrective action, perform an autopilot engagement test in ground mode and verify no disconnect warning is generated when changing from selected to managed guidance. Record the test result in the maintenance log before return to service."
CHK005,AMM_A320_Autopilot_Excerpt.txt,Dispatch Guidance,Repeated autopilot disconnect events within thirty days require engineering review even when the system passes a post-maintenance test. Review history for the same aircraft and for any swapped line-replaceable unit.
CHK006,AMM_A320_Autopilot_Excerpt.txt,Escalation Triggers,"If the fault recurs after component replacement, escalate to avionics engineering for software standard verification and fleet campaign review. Do not release the aircraft on repeated reset action alone."
CHK007,MEL_IFE_Summary.txt,Passenger Display Limits,Multiple inoperative IFE screens may be dispatched under MEL provisions provided the affected seats remain below the allowable cabin zone limit and no safety briefing functions are lost. Cabin services should be briefed before departure.
CHK008,MEL_IFE_Summary.txt,Zone Concentration Guidance,Concentrated IFE failures in a single seat block may indicate a seat electronics box or cabin distribution issue rather than isolated screen failures. Inspect power supply and network continuity for the affected zone.
CHK009,MEL_IFE_Summary.txt,Operational Restrictions,"If inoperative screens affect premium cabin briefing monitors or moving map availability promised for dispatch, apply customer service notification and maintenance follow-up at next suitable station."
CHK010,MEL_IFE_Summary.txt,Corrective Action Notes,Repeated IFE resets on consecutive sectors should trigger seat electronics box replacement or software reload. Logging the exact seat rows helps identify harness or seat group commonality.
CHK011,MEL_IFE_Summary.txt,Deferred Defect Control,"Deferred IFE defects must include the row, seat count, and any cabin crew observations of resets or spontaneous recoveries. Repeated defects should be reviewed during reliability meetings."
CHK012,MEL_IFE_Summary.txt,Cabin Integration References,"For recurring inoperative displays associated with galley or cabin power resets, inspect shared power feeders and cabin utility contactors before replacing additional screens."
CHK013,Vendor_Bulletin_Hydraulics.txt,Leak Identification,"Hydraulic leak observations near the main landing gear should differentiate between residual fluid from servicing and active seepage at hose assemblies, line clamps, or actuator fittings. Clean the area before pressurization and reinspect."
CHK014,Vendor_Bulletin_Hydraulics.txt,Rectification Procedure,"When active leakage is confirmed on a hydraulic line kit, replace the affected hose assembly, torque fittings to the latest standard, replenish system quantity, and carry out an external leak check with gear cycling if permitted."
CHK015,Vendor_Bulletin_Hydraulics.txt,Contamination Control,Use approved lint-free materials around hydraulic fittings. Any evidence of particulate contamination after hose replacement requires filter inspection and possible fluid sampling before dispatch.
CHK016,Vendor_Bulletin_Hydraulics.txt,Inspection Criteria,"A repeat leak on the same aircraft within thirty days should prompt clamp alignment review, bracket inspection, and engineering confirmation that the replacement line part number is correctly embodied."
CHK017,Vendor_Bulletin_Hydraulics.txt,AOG Response,"If leakage exceeds allowable drip rate or affects brake or steering operation, treat the event as dispatch impacting and coordinate immediate material availability for replacement at the station."
CHK018,Vendor_Bulletin_Hydraulics.txt,Vendor Recommendations,Parker recommends replacing associated seals and verifying support clamp spacing whenever a main gear hydraulic line is changed following a leak event in service.
CHK019,Reliability_Procedure_Note.txt,Repeat Defect Definition,"A repeat defect exists when the same aircraft experiences the same component fault, or a defect in the same ATA chapter, within the preceding thirty days. Reliability analysts should distinguish repeated troubleshooting from independent events."
CHK020,Reliability_Procedure_Note.txt,Escalation Threshold,"Three similar defects on one aircraft within sixty days should be presented at the fleet reliability review with engineering action owner, open tasks, and material support status."
CHK021,Reliability_Procedure_Note.txt,Vendor Monitoring,"Track component and vendor concentrations separately. A high component count with dispersed vendors indicates system susceptibility, while one vendor concentration suggests supply quality or modification effectiveness issues."
CHK022,Reliability_Procedure_Note.txt,Rectification Performance,Mean rectification time should be reviewed alongside AOG count because low closure time on non-dispatch items can hide poor operational impact from a smaller number of severe events.
CHK023,Reliability_Procedure_Note.txt,Spares Coordination,"Before recommending reorder quantities, compare average monthly usage against current repeat defect activity, open deferred items, and lead-time exposure for critical components."
CHK024,Reliability_Procedure_Note.txt,Engineering Action Tracking,"Recommended actions should move from monitoring to escalation when severity, recurrence, and spares exposure align. Document the rationale in daily control tower handover notes."
